i,school_domain,school_name
471,students.uwf.edu,university of west florida
472,students.vsu.edu
473,studentsccsnh.edu,university of california los angeles
474,sullivan.edu,sullivan university
475,sum.edu,sum bible college and theological seminary
476,sunbury.mccann.edu
477,svsu.edu
478,sw.edu
479,swccd.edu
480,sycamores.indstate.edu
481,syr.edu
482,tacomacc.edu
483,tamu.edu
484,tcatjacksboro.edu,campbell county
485,tcatlivingston.edu,Jon Hesson
486,tcatripley.edu
487,tcc.edu,tidewater community college
488,tccd.edu,tarrant county college
489,temple.edu,temple university
490,tigers.nemcc.edu,northeast mississippi community college
491,titans.easternflorida.edu,efsc titans
492,tncc.edu,thomas nelson community college
493,trnty.edu,trinity christian college
494,troy.edu,troy university
495,tulsatech.edu,tulsa technology center
496,tulstech.edu,tulsa technology center
497,txstate.edu,texas state university
498,uab.edu
499,uah.edu,university of alabama huntsville
500,uccs.edu
501,ucf.edu,university of central florida
502,ucmail.uc.edu,university of cincinnati
503,ucumberands.edu,university of the cumberlands
504,ucumberlands.edu
505,udallas.edu,university of dallas
506,ufl.edu,university of florida
507,uky.edu,university of kentucky
508,umail.utah.edu
509,umd.edu,university of maryland
510,umn.edu,university of minnesota
511,unchealth.unc.edu,unc health care
512,unlv.edu,university of nevada
513,uphs.upenn.edu
514,usi.edu,university of southern indiana
515,utah.edu,university of utah
516,utdallas.edu,university of texas at dallas
517,utm.edu
518,utrgv.edu
519,uw.edu,university of washington
520,uwrf.edu,university of wisconsin  river falls
521,valdosta.edu,valdosta state university
522,valenciacollege.edu,valencia college
523,valley.edu,valley college
524,vantage.edu,vantage
525,vc.edu,venture university
526,vcu.edu,virginia commonwealth university
527,vernoncollege.edu,vernon college
528,vgcc.edu,vance  granville community college
529,vikings.sjrstate.edu,sjr athletic company inc
530,virginia.edu,university of virginia health system
531,vistacollege.edu,vista collegecom
532,volmail.jalc.edu,volmail
533,volmail.jslc.edu,the university of tennessee knoxville
534,vols.utk.edu,the university of tennessee knoxville
535,volstate.edu,volunteer state community college
536,vt.edu,virginia polytechnic institute state university
537,vwu.edu,virginia wesleyan university
538,waketech.edu,wake technical community college
539,waldenu.edu,walden university
540,wau.edu,washington adventist university
541,wctc.edu,waukesha county technical college
542,westliberty.edu,west liberty university
543,westshore.edu,west shore esd
544,westwood.edu,westwood college
545,wgu.edu,western governors university
546,wilkes-barre.mccann.edu
547,wingate.edu
548,wolf.cheyney.edu,cheyney university
549,wolfmail.sunyacc.edu,lake placid region
550,wti.edu,wichita technical institute
551,wvup.edu
552,wwcc.edu,western wyoming community college
553,ycp.edu,york college of pennsylvania
554,yorktech.edu,york technical college
555,zonemail.clpccd.edu,chabot college
